,precision,recall,f1-score,support
Abyssinian,0.0,0.0,0.0,98.0
american_bulldog,0.0,0.0,0.0,100.0
american_pit_bull_terrier,0.0,0.0,0.0,100.0
basset_hound,0.0,0.0,0.0,100.0
beagle,0.0,0.0,0.0,100.0
Bengal,0.0,0.0,0.0,100.0
Birman,0.03431372549019608,0.07,0.046052631578947366,100.0
Bombay,0.0,0.0,0.0,88.0
boxer,0.0,0.0,0.0,99.0
British_Shorthair,0.0,0.0,0.0,100.0
chihuahua,0.0,0.0,0.0,100.0
Egyptian_Mau,0.0,0.0,0.0,97.0
english_cocker_spaniel,0.0,0.0,0.0,100.0
english_setter,0.0,0.0,0.0,100.0
german_shorthaired,0.0,0.0,0.0,100.0
great_pyrenees,0.0,0.0,0.0,100.0
havanese,0.0,0.0,0.0,100.0
japanese_chin,0.0,0.0,0.0,100.0
keeshond,0.0,0.0,0.0,99.0
leonberger,0.0,0.0,0.0,100.0
Maine_Coon,0.0,0.0,0.0,100.0
miniature_pinscher,0.0,0.0,0.0,100.0
newfoundland,0.0,0.0,0.0,100.0
Persian,0.0,0.0,0.0,100.0
pomeranian,0.05857142857142857,0.41,0.1025,100.0
pug,0.0,0.0,0.0,100.0
Ragdoll,0.0,0.0,0.0,100.0
Russian_Blue,0.0,0.0,0.0,100.0
saint_bernard,0.0,0.0,0.0,100.0
samoyed,0.03131908621960206,0.85,0.06041222459132907,100.0
scottish_terrier,0.0,0.0,0.0,99.0
shiba_inu,0.0,0.0,0.0,100.0
Siamese,0.0,0.0,0.0,100.0
Sphynx,0.0,0.0,0.0,100.0
staffordshire_bull_terrier,0.0,0.0,0.0,89.0
wheaten_terrier,0.0,0.0,0.0,100.0
yorkshire_terrier,0.0,0.0,0.0,100.0
accuracy,0.036249659307713275,0.036249659307713275,0.036249659307713275,0.036249659307713275
macro avg,0.0033568713589520738,0.03594594594594594,0.005647698815412877,3669.0
weighted avg,0.0033852341314043804,0.036249659307713275,0.0056954171755322,3669.0
