,precision,recall,f1-score,support
Abyssinian,0.794392523364486,0.8673469387755102,0.8292682926829268,98.0
american_bulldog,0.5844155844155844,0.9,0.7086614173228346,100.0
american_pit_bull_terrier,0.851063829787234,0.4,0.54421768707483,100.0
basset_hound,0.9425287356321839,0.82,0.8770053475935828,100.0
beagle,0.7164179104477612,0.96,0.8205128205128205,100.0
Bengal,0.5918367346938775,0.29,0.38926174496644295,100.0
Birman,0.7710843373493976,0.64,0.6994535519125683,100.0
Bombay,0.0,0.0,0.0,88.0
boxer,0.6363636363636364,0.7777777777777778,0.7,99.0
British_Shorthair,0.4892086330935252,0.68,0.5690376569037657,100.0
chihuahua,0.6779661016949152,0.8,0.7339449541284404,100.0
Egyptian_Mau,0.7339449541284404,0.8247422680412371,0.7766990291262136,97.0
english_cocker_spaniel,0.8773584905660378,0.93,0.9029126213592233,100.0
english_setter,0.975609756097561,0.8,0.8791208791208791,100.0
german_shorthaired,0.8738738738738738,0.97,0.919431279620853,100.0
great_pyrenees,0.95,0.95,0.95,100.0
havanese,0.9325842696629213,0.83,0.8783068783068783,100.0
japanese_chin,0.9166666666666666,0.99,0.9519230769230769,100.0
keeshond,0.9423076923076923,0.98989898989899,0.9655172413793104,99.0
leonberger,0.9583333333333334,0.92,0.9387755102040817,100.0
Maine_Coon,0.61,0.61,0.61,100.0
miniature_pinscher,1.0,0.42,0.5915492957746479,100.0
newfoundland,0.96,0.96,0.96,100.0
Persian,0.7301587301587301,0.92,0.8141592920353983,100.0
pomeranian,0.9325842696629213,0.83,0.8783068783068783,100.0
pug,0.9591836734693877,0.94,0.9494949494949495,100.0
Ragdoll,0.5579710144927537,0.77,0.6470588235294118,100.0
Russian_Blue,0.49193548387096775,0.61,0.5446428571428571,100.0
saint_bernard,0.9863013698630136,0.72,0.8323699421965318,100.0
samoyed,0.8461538461538461,0.99,0.9124423963133641,100.0
scottish_terrier,0.9690721649484536,0.9494949494949495,0.9591836734693877,99.0
shiba_inu,0.7777777777777778,0.98,0.8672566371681416,100.0
Siamese,0.8315789473684211,0.79,0.8102564102564103,100.0
Sphynx,0.9108910891089109,0.92,0.9154228855721394,100.0
staffordshire_bull_terrier,0.5952380952380952,0.5617977528089888,0.5780346820809249,89.0
wheaten_terrier,0.765625,0.98,0.8596491228070176,100.0
yorkshire_terrier,0.9883720930232558,0.85,0.9139784946236559,100.0
accuracy,0.7906786590351594,0.7906786590351594,0.7906786590351594,0.7906786590351594
macro avg,0.7872648815842072,0.7875961804539853,0.7750771981056876,3669.0
weighted avg,0.790404491526632,0.7906786590351594,0.7780904652222843,3669.0
