,Abyssinian,american_bulldog,american_pit_bull_terrier,basset_hound,beagle,Bengal,Birman,Bombay,boxer,British_Shorthair,chihuahua,Egyptian_Mau,english_cocker_spaniel,english_setter,german_shorthaired,great_pyrenees,havanese,japanese_chin,keeshond,leonberger,Maine_Coon,miniature_pinscher,newfoundland,Persian,pomeranian,pug,Ragdoll,Russian_Blue,saint_bernard,samoyed,scottish_terrier,shiba_inu,Siamese,Sphynx,staffordshire_bull_terrier,wheaten_terrier,yorkshire_terrier
Abyssinian,85,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,4,0,0,0,0
american_bulldog,0,90,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
american_pit_bull_terrier,0,17,40,0,4,0,0,0,12,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0
basset_hound,0,1,0,82,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
beagle,0,0,0,2,96,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bengal,10,0,0,0,1,29,0,0,0,0,0,26,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Birman,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,26,0,0,0,0,0,4,0,0,0,0
Bombay,1,0,0,0,0,3,0,0,0,36,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,39,0,0,0,0,1,0,3,0,0
boxer,0,19,0,0,0,0,0,0,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
British_Shorthair,1,0,0,0,0,2,0,1,0,68,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,5,15,0,0,0,0,1,0,0,0,0
chihuahua,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,13,0,2,0,0,0
Egyptian_Mau,6,0,0,0,0,4,0,0,0,4,0,80,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
english_cocker_spaniel,0,0,0,0,1,0,0,0,0,0,0,0,93,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
english_setter,0,0,0,3,2,0,0,0,0,0,0,0,10,80,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
german_shorthaired,0,0,0,0,1,0,0,0,1,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
great_pyrenees,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
havanese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,0
japanese_chin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keeshond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
leonberger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Maine_Coon,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,61,0,0,16,2,0,16,0,0,0,0,1,0,0,0,0,0
miniature_pinscher,0,0,2,0,0,0,0,0,7,0,32,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,0,4,0,3,9,0,0
newfoundland,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,92,1,0,5,0,0,0,0,0,0,0,0,0,0
pomeranian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,83,0,1,0,0,9,0,3,0,0,0,0,0
pug,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0
Ragdoll,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,77,1,0,0,0,1,5,0,0,0,0
Russian_Blue,4,0,0,0,0,4,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
saint_bernard,0,5,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,72,0,0,0,0,0,0,0,0
samoyed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0
scottish_terrier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,94,0,0,0,0,2,1
shiba_inu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,98,0,0,0,0,0
Siamese,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,79,4,0,0,0
Sphynx,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,92,0,0,0
staffordshire_bull_terrier,0,15,4,0,4,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,50,0,0
wheaten_terrier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,98,0
yorkshire_terrier,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,85
