class_name,train,test
Abyssinian,100,98
american_bulldog,100,100
american_pit_bull_terrier,100,100
basset_hound,100,100
beagle,100,100
Bengal,100,100
Birman,100,100
Bombay,96,88
boxer,100,99
British_Shorthair,100,100
chihuahua,100,100
Egyptian_Mau,93,97
english_cocker_spaniel,96,100
english_setter,100,100
german_shorthaired,100,100
great_pyrenees,100,100
havanese,100,100
japanese_chin,100,100
keeshond,100,99
leonberger,100,100
Maine_Coon,100,100
miniature_pinscher,100,100
newfoundland,96,100
Persian,100,100
pomeranian,100,100
pug,100,100
Ragdoll,100,100
Russian_Blue,100,100
saint_bernard,100,100
samoyed,100,100
scottish_terrier,100,99
shiba_inu,100,100
Siamese,99,100
Sphynx,100,100
staffordshire_bull_terrier,100,89
wheaten_terrier,100,100
yorkshire_terrier,100,100
